,ANO_PROCEDIMENTO,ID_ARQUIVO,ID_LICITACAO,NOME_ARQUIVO
0,2023,712576,750345,EDITAL PE 167 -2022.pdf
2,2023,712581,750346,EDITAL PE 169 -2022.pdf
5,2023,712881,750381,EDITAL.pdf
8,2023,713012,750396,EDITAL.docx.pdf
12,2023,713087,750414,EDITAL PP 001 23 COMBUSTIVEL.pdf
14,2023,713124,750428,_EDITAL_TP01.pdf
17,2023,713134,750413,PE001.2023 - EDITAL.pdf
18,2023,713180,750445,Edital Pregão Eletrõnico nº 004-2023_PEÇAS E SERVIÇOS.pdf
19,2023,713181,750445,MINUTA DE CONTRATO - PE 004-2023_PEÇAS E SERVIÇOS.pdf
22,2023,713184,750446,Edital Pregão Eletrõnico nº 005-2023_POÇOS.pdf
23,2023,713185,750446,MINUTA DE CONTRATO - PE 005-2023_POÇOS.pdf
26,2023,713230,750463,PE 008.2023 - PEÇAS ILUMINAÇÃO PÚBLICA.pdf
28,2023,713283,750463,PE 008.2023 - SRP PEÇAS ILUMINAÇÃO PÚBLICA corrigido.pdf
29,2023,713320,750464,02. EDITAL - PE 01-2023 - AQUISIÇÃO DE MATERIAL DE CONSTRUÇÃO.pdf
30,2023,713323,750478,EDITAL TP 01.2023 PMAP.pdf
31,2023,713332,750481,Pregão_Eletronico_nº_002-2023_PRÓTESES_Edital.pdf
38,2023,713471,750513,1.0 -MEMORIAL DESCRITIVO E ESPECIFICAÇÕES TECNICAS.pdf
39,2023,713472,750513,2.0 - QCI - (CAIXA).pdf
40,2023,713473,750513,2.1 - EVENTOS (CAIXA).pdf
42,2023,713477,750513,2.3 - CRONOPLE (CAIXA).pdf
45,2023,713481,750513,2.6 -  CAIXA BDI (CAIXA).pdf
46,2023,713483,750513,3.0 - PLAN ORÇAMENTARIA SEM DESON.pdf
47,2023,713485,750513,4.0 - LOCALIZAÇÃO PASSAGEM MOLHADA - JAZIDA.pdf
49,2023,713487,750513,6.0 - SEÇÕES TRANSVERSAIS.pdf
50,2023,713488,750513,7.0 - BARRACÃO DA OBRA.pdf
51,2023,713489,750513,8.0 -RELATORIO FOTOGRAFICO.pdf
52,2023,713490,750513,11 ART GALVANIO.pdf
53,2023,713491,750513,Declaração de Baixo Impacto Ambiental - DBIA.pdf
55,2023,713493,750514,2 EDITAL CONCORRÊNCIA 2023.pdf
56,2023,713494,750514,ESCOLAS REFORMA_merged.pdf
57,2023,713599,750531,Edital Pregão Eletrônico 002.pdf
58,2023,713627,750545,EDITAL DE LICITAÇÃO CAMISETAS.pdf
61,2023,713630,750545,DECLARAÇÕES.pdf
62,2023,713632,750546,EDITAL DE LICITAÇÃO LIXEIRA.pdf
65,2023,713635,750546,DECLARAÇÕES.pdf
67,2023,713713,750564,P.E. 03.2023 - SRP ÁGUA MINERAL - ASS.pdf
68,2023,713742,750563,PDF - EDITAL CHAMADA PÚBLICA 001 - 2023.pdf
69,2023,713757,750578,Edital Pregão Eletrõnico nº 012-2023_TRANSP. ESCOLAR.pdf
70,2023,713759,750578,MINUTA DE CONTRATO - PE 012-2023_TRANSP. ESCOLAR.pdf
72,2023,713769,750581,EDITAL TP TECNICA E PREÇO BRASILEIRA.pdf
73,2023,713794,750578,errata.pdf
77,2023,713823,750596,Edital PE 002-2023.pdf
78,2023,713854,760542,EDITAL - PE 002-2023.pdf
80,2023,713857,750513,07 - EDITAL TP 001.2023_PMMH.pdf
82,2023,713907,750346,EDITAL PE 169 -2022 RETIFICADO.pdf
83,2023,713917,750463,PE 008.2023 - SRP - PEÇAS ILUMINAÇÃO PÚBLICA corrigido 2.pdf
84,2023,713930,760556,Prefeitura Municipal de Parnaíba - O DIA - 11-01-2023.pdf
85,2023,713931,760556,PREFEITURA MUNICIPAL DE PARNAÍBA - DOU - 11-01-2023.pdf
86,2023,713932,760556,DIARIO OFICIAL DO MUNICIPIO DE PARNAIBA-PI.pdf
87,2023,713933,760556,EDITAL PE 03.2023.pdf
88,2023,713938,760559,EDITAL PREGÃO ELETRÔNICO - 005-2023 MATERIAIS DE HIGIENCE.pdf
90,2023,713976,760573,Edital CHAMADA PÚBLICA 01- Técnico de Enfermagem.pdf
93,2023,713979,760574,EDITAL CARTA CONVITE 002-2022.pdf
96,2023,714027,760592,Edital PE 004-2023 (Material de Limpeza e Higiene).pdf
97,2023,714026,760591,Edital de Licitação - PMLA - PE 002 2023 - Pneus e Baterias.pdf
98,2023,714078,760606,1673379531139b2acaf.pdf
99,2023,714079,760606,1673380144828a1a77c.pdf
101,2023,719533,761010,ATA_LICITACAO_PORTUGUES_984234.pdf
102,2023,719534,761010,PE Nº 005-2023 - ARP Nº 007-2023 - CONJ. ESCOLAR INFANTIL.pdf
103,2023,719535,761010,PE Nº 005-2023 - EXTRATO ARP Nº 007-2023 - CONJ. ESCOLAR INFANTIL.pdf
104,2023,719536,761010,DM_4760_392_Elesbao_Veloso_Licitacao_PE_005-23_SRP_Ata_pag_164.pdf
105,2023,719537,761010,DM_4760_394_Elesbao_Veloso_Licitacao_PE_005-23_SRP_Termo_Adjudicacao_pag_164.pdf
106,2023,719538,761010,DM_4760_395_Elesbao_Veloso_Licitacao_PE_005-23_SRP_Termo_Homologacao_pag_165.pdf
107,2023,719539,761010,document- HOMOLOGAÇÃO.pdf
108,2023,719540,761010,document-adjudicação.pdf
110,2023,719596,761009,ATA DE SESSÃO-PE 006.pdf
111,2023,719597,761827,Edital Praça Publica - SJF.pdf
112,2023,719599,761827,5.0 Orçamento Praça 918570 sem desoneração.pdf
113,2023,719600,761827,5.1 ORÇ ELÉTRICO PRAÇA S DESON.pdf
114,2023,719601,761827,5.2 PLE praça 918570.pdf
115,2023,719603,761827,2.0 Memo Descritivo (1).pdf
116,2023,719604,761827,3.1 Especificações elétricas praça (1).pdf
117,2023,719605,761827,3.0 Espec. Técnicas (1).pdf
118,2023,719606,761827,4.0 Rel. Fotografico (1).pdf
119,2023,719611,761828,corrig.-Edital-Carta Convite nº 001-2023-Amplia Escola Noberto-PMRP.pdf
121,2023,719613,761828,corrig.-Recibo de Entrega -001-2023-Ampliação da U. Escola Noberto Fabiano-PMRP.pdf
122,2023,719703,761842,EDITAL PE 013-2023.pdf
124,2023,719725,761846,PE 004.2023 - Transporte Escolar.pdf
125,2023,719776,761859,EDITAL TP Nº 009_2023 - CONTRATAÇÃO DAS ETAPAS FINAIS DE CRIAÇÃO DO CADASTRO MULTIFINALITÁRIO - PA0342023.pdf
129,2023,719780,761859,ORC FINAL GERAL - CADASTRO - V4.pdf
130,2023,719789,761796,Edital PE 008-2023-.pdf
131,2023,719800,761860,Edital Pregão 003 - Radio.pdf
132,2023,719814,761341,AtaParcial_220786.pdf
133,2023,719815,761341,Adjudicacao_220786.pdf
134,2023,719816,761341,Homologacao_220786.pdf
135,2023,719817,761341,PropostasEletronicas_220786.pdf
136,2023,719819,761341,AtaTotal_220786.pdf
137,2023,719867,761877,PE_001_2023.pdf
138,2023,729848,760791,Prega~o Eletro^nico nº 005-2023  - Edital-Oficinas - SUAS-REPUBLICADO.pdf
139,2023,729849,771805,PE_003_2023.pdf
140,2023,729850,771806,Prega~o Eletro^nico nº 011-2022  - Edital.pdf
142,2023,729889,771820,EDITAL CRED 08.2023.pdf
144,2023,729898,771823,EDITAL CRED 09.2023.pdf
146,2023,729913,771820,EDITAL CRED 08.2023 - (corrigido).pdf
147,2023,729935,750578,CANCELAMENTO PE 012-2023_TRANSPORTE ESCOLAR.pdf
148,2023,729966,771837,Chamada Publica nº 002-2023 - PAB.pdf
149,2023,729968,771837,Chamada Publica nº 002-2023 - PAB.pdf
150,2023,729963,771838,Tomada de preços nº 005-2023 -  contratação de empresa especializada na prestação de serviços abastecimento de agua.pdf
151,2023,729964,771838,SOLICITAÇÃO DE ABASTECIMENTO DE ÁGUA17022023.pdf
152,2023,729978,761845,PADM 018 - TERMO DE REFERENCIA.pdf
153,2023,730019,771856,EDITAL PE 015 2023.pdf
155,2023,730015,771855,Edital - TP 003.2023.pdf
156,2023,730016,771855,1 - Memorial Descrito de construção de Parque Aquático.pdf
159,2023,730021,771855,4 - Relatório Fofotráfico.pdf
160,2023,730022,771855,5 - MAPA DE LOCALIZAÇÃO.pdf
161,2023,730028,761659,PRIMEIRO ADENDO.pdf
162,2023,730029,761659,CKS x Bela Vista do Piauí - Impugnação Edital PE 02.2023 (exigência indevida prazo de entrega).pdf
163,2023,730030,761659,RESPOSTA A IMPUGNAÇÃO.pdf
166,2023,730086,771870,31 Edital Poda de Árvore PP 011-2023.pdf
167,2023,730091,761878,EDITAL.pdf
169,2023,730093,761878,Orçamento limpeza publica MCT 2023 (2).pdf
171,2023,730101,771873,EDITAL ESGOTO ESPERANTINA.pdf
172,2023,730167,761792,10 EDITAL UTENSÍLIOS.pdf
175,2023,730179,771887,33 Edital Locação de Veículo com som PP 013-2023.pdf
176,2023,730180,771888,34 Edital Apoio Administrativo PP 014-2023.pdf
179,2023,730250,771905,EDITAL PREG ELET 004-2023 - SERVIÇOS DE TRANSPORTE ESCOLAR.pdf
182,2023,732963,782181,Edital Pregão Eletrônico 007_2023.pdf
184,2023,732970,782186,Edital Pregão Eletrônico 009_2023.pdf
186,2023,732975,782188,Edital Conc. nº 004 de 2023.pdf
189,2023,732991,761491,DM_4776_098_Bom_Principio_do_Pi_Licitacao_PE_002-23_RegistroPrecos_pag_330.pdf
190,2023,733054,771951,DESPACHO PARA ADIAMENTO DE LICITAÇÃO.pdf
191,2023,733056,761455,ATA PE 003-2023 COMBUSTÍVEL.pdf
193,2023,733070,771951,DESPACHO PARA ADIAMENTO DE LICITAÇÃO - PP N° 001-2023.pdf
195,2023,733072,782213,EDITAL DA CONCORRÊNCIA PÚBLICA Nº 002-2023 - DRENAGEM.pdf
198,2023,733075,782213,DETALHES DE ESTRUTURAS-DRE-FOLHA 06.pdf
200,2023,733077,782220,"EDITAL PREG ELET SRP 006-2023 AQUISIÇÃO ESCOLAR, DIDÁTICO, PEDAGÓGICO E DE EXPEDIENTE.pdf"
201,2023,733078,782220,TERMO REFERENCIA PREG ELET SRP 006-2023 AQUISIÇÃO MATERIAL EXPEDIENTE E DIDÁTICO.pdf
202,2023,733079,782220,Extrato de publicação 006_2023 - BNC.pdf
204,2023,733102,761457,ATA PE 004-2023 MATERIAL DE LIMPEZA REDUZIDOpdf.pdf
205,2023,733108,760998,oficiocontabil.pdf
206,2023,733109,760998,parecercontabil.pdf
207,2023,733110,760998,parecereng1.pdf
208,2023,733111,760998,parecereng2.pdf
209,2023,733112,760998,parecereng3.pdf
210,2023,733113,760998,oficiojuridico.pdf
211,2023,733114,760998,PARECERJURIDICO.pdf
212,2023,733115,760998,RELATORIORECURSOEMPOLI.pdf
213,2023,733116,760998,RELATORIORECURSOJK.pdf
214,2023,733117,760998,RELATORIORECURSOLITUCERA.pdf
215,2023,733118,760998,RELATORIORECURSORECICLE.pdf
